"","user_id","session_id","test_id","ratio","time_total","time_mean","time_sd","time_median","time_trimmed","time_mad","time_min","time_max","time_range","time_skew","time_kurtosis","time_se","time_Q0.25","time_Q0.75","time_trend","fitts_a","fitts_b","distance_total","distance_mean","distance_sd","distance_median","distance_trimmed","distance_mad","distance_min","distance_max","distance_range","distance_skew","distance_kurtosis","distance_se","distance_Q0.25","distance_Q0.75","distance_trend","pause_total","pause_number","pause_mean","pause_sd","pause_median","pause_trimmed","pause_mad","pause_min","pause_max","pause_range","pause_skew","pause_kurtosis","pause_se","pause_Q0.25","pause_Q0.75","pause_trend","stops","velocity_mean","velocity_sd","velocity_mad","velocity_min","velocity_max","velocity_range","velocity_skew","velocity_kurtosis","velocity_se","velocity_Q0.25","velocity_Q0.75","velocity_trend","acc_n","acc_mean","acc_sd","acc_median","acc_trimmed","acc_mad","acc_min","acc_max","acc_range","acc_skew","acc_kurtosis","acc_se","acc_Q0.25","acc_Q0.75","jerk_line","n_jerk","dec_n","dec_mean","dec_sd","dec_median","dec_trimmed","dec_mad","dec_min","dec_max","dec_range","dec_skew","dec_kurtosis","dec_se","dec_Q0.25","dec_Q0.75","braking_line","n_braking","acc_per_sec_mean","acc_per_sec_sd","acc_per_sec_median","acc_per_sec_trimmed","acc_per_sec_mad","acc_per_sec_min","acc_per_sec_max","acc_per_sec_range","acc_per_sec_skew","acc_per_sec_kurtosis","acc_per_sec_se","acc_per_sec_Q0.25","acc_per_sec_Q0.75","acc_per_sec_max_pos","acc_per_sec_min_pos","missings_distance","missings_mean","missings_sd","missings_median","missings_trimmed","missings_mad","missings_min","missings_max","missings_range","missings_skew","missings_kurtosis","missings_se","missings_Q0.25","missings_Q0.75","missings","hits","missings_trend","accuracy_rate","combo_hits","combo_missings","clicked_through_targets","combo_clicked_through_targets","corr_sat"
"(Intercept)462",2984,"rErDSNEMywiBBdpJconzPaMSBU",66,"1.25",19.91,0.16,0.17,0.09,0.12,0.03,0.05,1.28,1.24,4.52,24.46,0.02,0.08,0.18,0.77,-0.128310597527425,0.105007495392661,729.11,5.74,23.5,0,0,0,0,155.29,155.29,4.6,21.64,2.09,0,0,0.05,15001,12,1250.08,1482.4,768.5,1033.5,974.81,13,4653,4640,1.16,-0.02,427.93,159,1624.5,-137.23,110,190.42,123.16,0,0,935.47,935.47,5.6,33.01,10.93,0,0,0.23,18,60.16,112.94,9.53,45.23,13.97,0,359.14,359.14,1.71,1.35,26.62,0.37,37.31,NA,3,18,-84.69,241.14,-10.91,-30.23,15.96,-1040.73,0,1040.73,-3.44,10.73,56.84,-58.69,-3.36,NA,1,1.85,2.68,1,1.31,1.48,0,10,10,1.63,1.95,0.6,0,2.25,16,1,33746.13,263.64,80.11,267.65,266.75,89.05,78.87,413.72,334.84,-0.25,-0.68,7.08,208.44,328.37,128,0,1.44,0,0,128,128,128,0.079
"(Intercept)463",2989,"qKDY88jfffjwrxnCMrbMe8ScAY",66,"1",43.8,0.34,0.13,0.37,0.34,0.14,0.16,0.99,0.82,0.81,2.6,0.01,0.2,0.42,-1.78,0.985939451252586,-0.236156805700484,35872.32,282.46,202.79,345.4,279.31,128.74,0,885.34,885.34,-0.09,-0.57,18,16.88,419.32,-2.03,4157,89,46.71,61.58,25,34.08,17.79,1,332,331,2.75,8.44,6.53,14,41,0.85,40,870.56,597.03,723.03,0,2205.3,2205.3,0.03,-1,52.98,123.85,1207.93,-5.66,304,36.83,217.93,12.8,14.25,12.55,0,3133.33,3133.33,11.96,152.22,12.5,5.2,23.63,154.02,14,303,-11.69,11.93,-8.2,-9.6,8.45,-83.96,-0.14,83.82,-2.32,7.59,0.69,-15.98,-3.35,-58.44,13,13.82,4.43,13,13.42,2.97,7,28,21,0.96,1.27,0.67,12,15.25,39,11,17568.12,137.25,144.67,48.18,122.52,50.2,2.24,560.43,558.19,0.78,-0.95,12.79,26.8,297.96,73,55,2.9,17.35,10,42,40,39,-0.631
"(Intercept)464",2991,"ltzBwGadvy97uFN8k7PCxLXIjP",66,"1",46.88,0.37,0.09,0.35,0.36,0.07,0.22,0.7,0.48,1.14,1.62,0.01,0.31,0.42,0.91,0.063306620038031,0.112652470667776,60274.16,474.6,143.89,453.16,462.49,153.12,124.28,978.94,854.66,0.81,0.85,12.77,356.59,568.44,2.89,1044,52,20.08,14.19,16,17.17,4.45,6,96,90,3.39,13.88,1.97,14,19,-0.02,14,1294.74,341.26,315.93,583.49,2604.15,2020.66,0.42,0.88,30.28,1168.91,1564.62,4.66,391,36.01,89.99,21.84,25.9,25.02,0,1670.11,1670.11,15.45,275.36,4.55,7.15,44.8,210.67,19,391,-30.29,86.43,-16.94,-18.59,17.2,-1187.5,53.69,1241.19,-9.92,113.97,4.37,-30.48,-6.51,-437.5,19,16.66,4.54,16,16.46,4.45,8,27,19,0.41,-0.19,0.66,13.5,19,18,37,5888.28,46,37.94,40.59,42.03,26.71,3,366.28,363.28,4.79,37.16,3.35,22.79,60.68,70,58,-0.03,18.92,7,8,1,1,0.001
"(Intercept)465",2992,"OcFq4C8pMgAkRThvu7xOGk4Xa6",66,"1.25",63.22,0.5,0.08,0.48,0.49,0.07,0.3,0.83,0.52,0.97,1.7,0.01,0.44,0.53,0.86,0.191446760698794,0.112856102050471,61880.22,487.25,99,492.31,487.44,107.79,297.64,713.61,415.97,-0.02,-0.83,8.78,421.22,564.33,2.18,1322,76,17.39,12.17,16,16,8.9,1,67,66,1.49,3.07,1.4,9,21.25,-0.01,40,994.24,181.94,179.26,626.42,1488.2,861.78,0.28,-0.31,16.14,898.48,1147.24,2.82,551,67.58,676.7,10.61,12.31,11.11,-148.32,15348.08,15496.4,21.04,469.18,28.83,4.24,20.65,1492.5,42,551,-22.32,77.09,-8.91,-10.31,7.84,-1162.13,11.25,1173.38,-9.52,110.12,3.28,-16.17,-4.69,-634.41,42,17.23,4.49,17,17.13,3.71,5,30,25,0.18,0.9,0.56,15,20,54,63,2786.25,21.77,11.18,19.91,20.93,10.4,1,69.86,68.86,1.03,1.95,0.99,14.4,27.51,12,116,-0.02,44.53,25,2,0,0,-0.074
"(Intercept)466",2996,"cbJJilhVDuquaNM50HCFgkxPNH",66,"1",98.58,0.78,0.18,0.73,0.76,0.15,0.43,1.34,0.91,0.77,0.12,0.02,0.65,0.89,2.44,-0.101647809146492,0.323379049492305,62469.55,491.89,130.44,479.85,483.83,141.66,285.06,902.81,617.75,0.55,0.04,11.58,386.69,575.75,3,1514,73,20.74,14.04,16,18.24,5.93,6,86,80,2.24,6.07,1.64,14,24,0.02,22,637.83,176.42,145.01,402,1738.22,1336.22,1.75,7.44,15.65,591.88,793.73,2.29,1117,21.89,37.95,11.59,16.09,12.64,0,941.18,941.18,13.69,309.18,1.14,5,28.33,214.67,71,1117,-18.97,45.52,-10.1,-13.02,11.7,-1187.5,-0.07,1187.43,-17.82,418.74,1.36,-22.88,-3.43,-208.34,74,22.58,5.18,23,22.52,4.45,7,35,28,-0.04,0.22,0.52,20,25,65,98,1704.47,13.32,8.35,12.06,12.55,7.94,0,43.01,43.01,0.9,0.6,0.74,7.26,18.48,1,127,0,65.06,67,1,0,0,0.202
"(Intercept)467",3005,"3PfrTMNGmkSCe2Exkjn52vjm24",66,"1",87.19,0.69,0.13,0.68,0.68,0.13,0.47,1.35,0.88,1.12,4.1,0.01,0.59,0.76,1.43,0.152440245571958,0.196739316183611,60603.78,477.2,120.66,492.43,474.77,142.85,266.52,937.78,671.26,0.33,0.2,10.71,366.38,565.69,2.93,3636,154,23.61,24.75,13,19,11.12,3,181,178,2.65,10.56,1.99,8,32,-0.06,102,749.27,191.59,165.55,468.7,1812.86,1344.16,1.22,4.02,17,705.07,940.07,2.92,2276,24.27,37.23,16.74,19.12,16.23,0,973.68,973.68,14.39,335.98,0.78,7.4,30.6,218.75,120,2276,-22.3,21.5,-15.8,-18.98,15.89,-346.34,-0.17,346.17,-3.03,25.99,0.45,-31.35,-7.3,-136.3,82,51.74,10.23,51,52.31,10.38,5,70,65,-1.11,3.41,1.09,46,60,79,87,1716.02,13.41,7.54,12.37,12.7,6.95,2,47.41,45.41,1.28,2.9,0.67,7.81,17.09,2,126,0,64.96,88,1,0,0,0.186
"(Intercept)468",3015,"GeCKxDSBgyOkwPjneifUZsUWPr",66,"1.25",64,0.5,0.1,0.5,0.5,0.09,0.3,0.88,0.57,0.75,0.88,0.01,0.43,0.56,1.65,-0.0859012069837193,0.217282731970786,58251.98,458.68,112.69,459.25,455.32,134.07,203.7,841.62,637.92,0.31,-0.21,10,365.94,541.71,2.89,2203,122,18.06,17.44,12,14.48,7.41,2,80,78,1.85,2.6,1.58,7,18,-0.1,76,954.19,239.32,216.47,605.71,1752.51,1146.8,0.79,0.36,21.24,888.84,1200.09,2.69,2063,86.86,127.1,52.18,67.33,56.8,0,2758.22,2758.22,8.94,141.55,2.8,20.41,116.25,1595.94,109,2063,-81.55,93.68,-51.02,-63.88,55.77,-913.6,-0.02,913.58,-2.55,10.13,2.06,-107.01,-20.41,-700.54,148,64.48,8.6,65.5,65.12,8.15,40,79,39,-0.66,0.04,1.07,59.75,71,55,2,3471.47,27.12,16.95,23.38,25.18,14.91,1.41,98.23,96.82,1.27,2.17,1.5,14.84,34.5,23,105,-0.07,36.78,32,5,0,0,0.188
"(Intercept)469",3018,"xxZ337TZYQTF2h6fp9TLGxI69z",66,"1",82.38,0.65,0.1,0.64,0.64,0.1,0.43,1.02,0.58,0.85,1.01,0.01,0.57,0.7,0.86,0.335964984111271,0.115200360584523,60440.66,475.91,110.66,473.21,472.16,137.01,289.95,821.99,532.04,0.29,-0.52,9.82,376.62,564.64,2.57,2570,102,25.2,23.51,17.5,21.15,9.64,1,189,188,3.88,21.73,2.33,14,32,0.05,20,738.36,227.32,231.09,31.65,1586.03,1554.38,0.3,1.11,20.17,652,960.89,3.27,948,117.84,1601.86,13.84,24.57,16.58,0,48062.5,48062.5,28.49,844.57,52.03,5.06,42.86,3781.25,111,947,-27.08,43.34,-12.45,-18.15,15.31,-584.12,2.97,587.1,-4.85,39.71,1.41,-31.67,-4.11,-265.62,77,22.84,5.53,23,23.27,5.93,0,32,32,-1.01,2.04,0.61,20,27,2,41,1836.6,14.35,10.19,12.08,13.2,7.99,1,76.06,75.06,2.2,9.34,0.9,7.51,18.38,3,125,0.06,63.18,65,1,0,0,0.211
"(Intercept)470",3019,"3bl3YcAZHfEZ9I4yoJs8o89Ph8",66,"1",54.87,0.43,0.08,0.42,0.42,0.06,0.24,0.79,0.55,1.54,3.33,0.01,0.38,0.46,0.94,0.108920350082788,0.119039851322625,57970.14,456.46,134.72,448.26,448.91,142.69,100.1,1074.82,974.72,1.01,2.99,11.95,352.98,546.7,2.96,1897,99,19.16,14.94,15,17.14,10.38,1,84,83,1.72,3.89,1.5,9,25.5,-0.02,24,1081.59,264.31,280.29,577.87,1883.22,1305.35,0.17,-0.16,23.45,973.61,1351.06,4.41,464,27.4,84.97,10.66,15.87,11.99,0,1375,1375,11.13,150.75,3.94,4.57,28.31,493.83,19,463,-14.29,12.68,-11.04,-12.61,10.45,-125,-0.08,124.92,-2.44,13.51,0.59,-20.63,-4.96,-60,9,16.87,4.34,17,16.87,4.45,6,26,20,-0.07,-0.14,0.58,14,19,10,16,3719.07,29.06,47.17,23.75,23.68,14.78,1,530.14,529.14,9.39,96.55,4.17,13.93,33.7,17,111,0.18,38.79,33,3,1,1,-0.095
"(Intercept)471",3028,"XV5klbIR28LFMzEX03ZFH5nweF",66,"1",59.52,0.47,0.08,0.47,0.47,0.08,0.24,0.66,0.43,-0.27,-0.07,0.01,0.42,0.53,0.99,0.108134704966622,0.132802758560072,60778.39,478.57,116.71,491.15,481.5,130.17,54.77,725.95,671.18,-0.4,0.07,10.36,392.93,572.45,2.71,1808,76,23.79,20.42,16.5,20.35,10.38,4,111,107,2.35,6.4,2.34,11.75,28.5,0.04,22,1037.47,244.63,238.64,193.16,1894.75,1701.59,-0.05,1.08,21.71,954.5,1270.46,4.43,627,34.38,87.99,17.47,21.7,16.18,0,990.65,990.65,9,89.17,3.51,8.77,34.3,969.7,43,627,-21.01,20.98,-13.3,-17.39,13.68,-134.77,-0.17,134.6,-1.79,3.87,0.84,-29.3,-6.23,-108.86,33,20.92,3.38,21,20.98,2.97,11,30,19,-0.21,0.42,0.44,19,23,35,23,3468.78,27.1,29.81,21.61,23.02,12.45,1.41,315.42,314,7.2,65.65,2.64,14.29,32.05,20,108,-0.08,40.16,19,2,1,1,-0.162
"(Intercept)472",3032,"CmLWUG8YPvdnqVLNy7ntNctleF",66,"1.25",147.91,1.16,0.4,1.11,1.11,0.14,0.74,4.19,3.45,5.18,33.46,0.04,1.01,1.21,1.38,0.630052350789636,0.196922818553143,63406.88,499.27,184.08,462.01,472.69,165.28,267.84,1081.03,813.19,1.25,1.02,16.33,354.28,588.62,3.82,29567,127,232.81,285.55,193,197.75,56.34,50,2618,2568,7.14,53.04,25.34,157.5,234.5,1.29,3,430.08,309.27,229.31,205.77,2614.92,2409.15,1.77,6.79,27.44,720.14,1000.32,4.75,1012,51.59,143.83,8.74,16.51,10.39,0,1570.16,1570.16,5.13,31.72,4.52,2.83,24.85,1051.21,152,1012,-26.56,54.14,-9.44,-15.4,12.48,-1047.38,-0.01,1047.38,-8.42,129.84,1.7,-28.87,-2.47,-281.28,102,13.68,5.19,13,13.63,4.45,0,30,30,0.06,0.68,0.43,10,17,124,113,2279.12,17.81,26.39,14.04,15.45,8.06,1,300.83,299.83,9.62,100.33,2.33,9.85,21.52,1,127,0.1,58.55,114,1,0,0,0.19
