"","user_id","session_id","test_id","ratio","time_total","time_mean","time_sd","time_median","time_trimmed","time_mad","time_min","time_max","time_range","time_skew","time_kurtosis","time_se","time_Q0.25","time_Q0.75","time_trend","fitts_a","fitts_b","distance_total","distance_mean","distance_sd","distance_median","distance_trimmed","distance_mad","distance_min","distance_max","distance_range","distance_skew","distance_kurtosis","distance_se","distance_Q0.25","distance_Q0.75","distance_trend","pause_total","pause_number","pause_mean","pause_sd","pause_median","pause_trimmed","pause_mad","pause_min","pause_max","pause_range","pause_skew","pause_kurtosis","pause_se","pause_Q0.25","pause_Q0.75","pause_trend","stops","velocity_mean","velocity_sd","velocity_mad","velocity_min","velocity_max","velocity_range","velocity_skew","velocity_kurtosis","velocity_se","velocity_Q0.25","velocity_Q0.75","velocity_trend","acc_n","acc_mean","acc_sd","acc_median","acc_trimmed","acc_mad","acc_min","acc_max","acc_range","acc_skew","acc_kurtosis","acc_se","acc_Q0.25","acc_Q0.75","jerk_line","n_jerk","dec_n","dec_mean","dec_sd","dec_median","dec_trimmed","dec_mad","dec_min","dec_max","dec_range","dec_skew","dec_kurtosis","dec_se","dec_Q0.25","dec_Q0.75","braking_line","n_braking","acc_per_sec_mean","acc_per_sec_sd","acc_per_sec_median","acc_per_sec_trimmed","acc_per_sec_mad","acc_per_sec_min","acc_per_sec_max","acc_per_sec_range","acc_per_sec_skew","acc_per_sec_kurtosis","acc_per_sec_se","acc_per_sec_Q0.25","acc_per_sec_Q0.75","acc_per_sec_max_pos","acc_per_sec_min_pos","missings_distance","missings_mean","missings_sd","missings_median","missings_trimmed","missings_mad","missings_min","missings_max","missings_range","missings_skew","missings_kurtosis","missings_se","missings_Q0.25","missings_Q0.75","missings","hits","missings_trend","accuracy_rate","combo_hits","combo_missings","clicked_through_targets","combo_clicked_through_targets","corr_sat"
"(Intercept)",517,"GkFVt4r0IKosYUHVMSLfxuLIN5",66,"1",44.97,0.35,0.08,0.34,0.34,0.03,0.12,0.8,0.68,3.05,15.27,0.01,0.32,0.38,0.7,0.102522650672499,0.09267157260308,56125.76,441.94,138.45,444.74,432.19,119.42,25.44,1367.57,1342.13,2.37,14.66,12.29,350.2,509.87,2.63,2823,115,24.55,39.12,16,18.2,8.9,5,376,371,6.93,55.76,3.65,11,23,-0.15,1,1236.36,697.77,568.1,0,3916.03,3916.03,0.42,0.82,61.92,1185.26,1953.19,7.31,270,97.35,447.64,32,41.89,35.77,0,6912.96,6912.96,13.42,197.26,27.24,10.54,68.21,812.5,29,270,-36.06,92.52,-20.05,-22.47,16.36,-1178.03,-0.14,1177.89,-9.63,105.1,5.63,-34.01,-10.65,-209.24,21,12.02,4.54,12,11.73,4.45,5,25,20,0.64,0.41,0.68,8,15,22,3,5846.64,45.68,54.81,35.85,38.01,22.03,4.12,513.48,509.35,6.23,46.18,4.84,22.91,52.17,58,70,0.14,20.24,7,4,2,1,-0.096
"(Intercept)1",979,"jqdNFaevpFPxyLt4tI9N6CALyI",66,"0.8500000238418579",63.04,0.5,0.08,0.49,0.49,0.08,0.36,0.72,0.36,0.45,-0.18,0.01,0.44,0.55,0.57,0.289355049325017,0.0762518564629473,58152.4,457.89,117.08,445.19,448.56,117.1,253.91,880.66,626.75,0.8,0.81,10.39,369.25,529.01,2.81,1821,85,21.42,17.51,16,18.36,8.9,1,119,118,2.94,11.35,1.9,12,23,-0.05,28,936.17,216.41,199.91,543.56,1712.12,1168.56,0.74,0.5,19.2,833.57,1112.55,4.22,762,41.47,153.04,18.52,24.22,19.01,0,2901.96,2901.96,14.59,235.18,5.54,8.17,40.52,468.75,57,762,-28.5,36.24,-16.31,-21.57,18.01,-354.34,-0.11,354.22,-3.49,18.5,1.31,-37.06,-6.61,-237.42,47,23.83,4.92,24,23.98,4.45,1,35,34,-1.3,5.43,0.61,21,27,3,63,3172.42,24.78,12.86,21.93,23.88,11.84,0,61.55,61.55,0.67,-0.04,1.14,15.47,32.22,22,106,0.12,38.6,40,4,0,0,0.108
"(Intercept)2",980,"CZ4lY7vbqRKPdRg09U5GncX8ob",66,"0.5",53.1,0.42,0.11,0.41,0.41,0.13,0.22,0.76,0.54,0.46,-0.33,0.01,0.33,0.5,0.97,0.103412535899255,0.115917286354757,57389.63,451.89,119.91,437.43,447.05,133.91,208.77,807.6,598.83,0.43,-0.4,10.64,351.33,534.68,2.6,1956,115,17.01,10.13,16,15.74,7.41,6,92,86,4.01,24.96,0.95,11,20,0.01,17,1029.86,387.44,262.6,0,2164.8,2164.8,-0.58,1.93,34.38,917.84,1264.24,3.25,507,82.37,865.65,20.8,28.58,20.57,0,19425.4,19425.4,22.02,488.74,38.44,9.13,46.36,583,45,507,-45.28,132.53,-15.94,-20.36,15.31,-1400,-0.08,1399.92,-6.78,51.72,5.89,-32.66,-7.53,-1053.8,50,18.8,6.4,20,19.43,5.19,0,34,34,-1.02,1.92,0.87,16,23,33,27,5961.32,46.57,30.55,41.3,42.45,25.37,4.12,172.28,168.16,1.68,3.67,2.7,25.07,60.1,68,60,-0.07,17.63,12,7,0,0,0.056
"(Intercept)3",981,"hJa1hWr25s3MBNbtDg4OM7FzlT",66,"1",66.55,0.52,0.1,0.52,0.52,0.09,0.32,0.89,0.56,0.79,1.41,0.01,0.45,0.57,0.7,0.28417461072267,0.088358898686615,63581.14,500.64,123.2,502.69,496.05,140.05,276.68,901.88,625.2,0.38,-0.25,10.93,396.48,591.84,2.83,3054,121,25.24,22.76,19,21.61,13.34,4,193,189,3.84,23.11,2.07,12,30,-0.07,18,961.94,444.57,373.23,596.01,3193.02,2597.01,1.52,3.64,39.45,1031.76,1514.14,3.53,2167,109.74,143.87,64.35,83.4,67.51,0,2764.3,2764.3,5.57,70.55,3.09,27.74,138.88,990.94,162,2167,-98,114.24,-58.1,-75.77,61.82,-962.46,-0.1,962.36,-2.44,8.24,2.45,-128.64,-25.17,-784.57,154,64.7,12.78,66,64.85,13.34,35,99,64,-0.11,-0.1,1.56,56,73.5,58,35,2314.98,18.09,11.07,16.14,16.92,10.61,2.83,63.78,60.95,1.07,1.51,0.98,9.42,23.72,8,120,0.03,53.57,50,2,0,0,0.122
"(Intercept)4",983,"lPAVlt7rVV7IYYQpFrRn5exYNc",66,"1.25",100.19,0.79,0.2,0.76,0.77,0.13,0.37,2.12,1.74,2.63,14.61,0.02,0.69,0.87,1.45,0.229618660648485,0.206039769784328,73532.25,578.99,305.05,543.15,542.73,169.34,287.38,3413.01,3125.63,6.4,55.98,27.07,428.81,652.76,3.75,6306,133,47.41,30.52,45,44.43,31.13,7,156,149,0.86,0.41,2.65,22,64,0.18,58,748.75,256.38,274,514.66,1708.57,1193.91,0.74,0.08,22.75,660.73,1057.18,4.52,1058,26.44,38.45,13.19,18.38,15.31,0,356.67,356.67,3.5,16.94,1.18,4.75,33.28,281.99,82,1058,-26.79,47.03,-10.4,-16.39,12.9,-482.06,-0.06,481.99,-4.27,25.06,1.45,-30.09,-3.31,-337.2,102,20.96,4.51,21,21.2,4.45,5,33,28,-0.52,0.86,0.45,18,24,83,100,1330.6,10.4,6.31,9.22,9.76,5.49,1,39.81,38.81,1.36,3.28,0.56,6.32,13.42,1,127,-0.01,72.68,113,1,0,0,-0.031
"(Intercept)5",984,"YyORf7IAGIDC99PuGoI1cqr1bR",66,"1.5789473684210527",37.54,0.3,0.42,0.17,0.2,0.19,0,2.53,2.52,3.24,11.71,0.04,0.14,0.34,-2.53,1.25583434992002,-0.353739189709717,5708.8,44.95,191.23,0,0.31,0,0,1550.9,1550.9,5.41,33.48,16.97,0,0,-0.39,24822,44,564.14,1967.94,18,153.89,14.08,1,12652,12651,5.32,29.45,296.68,14.75,198.25,-18.63,34,196.01,190.53,0,0,1291.83,1291.83,4.35,20.52,16.91,0,0,-0.31,103,34.05,96.5,7.22,12.13,9.23,0,586.92,586.92,4.51,20.42,9.51,3.38,20.43,315.96,11,103,-12.95,26.23,-4.03,-6.66,5.25,-193.86,0,193.85,-4.12,21.52,2.58,-12.12,-0.88,-85.75,12,5.45,6.73,2,4.72,2.97,0,21,21,0.8,-0.95,1.09,0,11.75,21,6,36000.91,281.26,156.21,296.61,282.91,173.12,5.83,562.23,556.4,-0.08,-1.04,13.81,152.24,400.27,119,9,1.64,5.2,6,63,119,63,-0.418
"(Intercept)6",1001,"9p6LHbvEdvOB9Ypd1ebcSv5dpw",66,"1.25",62.55,0.49,0.08,0.49,0.49,0.07,0.35,0.78,0.43,0.77,1.04,0.01,0.44,0.53,0.93,0.169823653942991,0.118886930576109,58289.52,458.97,114.94,446.27,452.3,123.72,248.97,809.28,560.31,0.49,-0.24,10.2,370.56,536.59,2.63,3603,101,35.67,67.12,18,24.38,14.83,1,514,513,5.79,35.87,6.68,13,42,-0.15,27,857.92,458.49,290.56,0,1863.84,1863.84,-0.84,0.27,40.68,866.33,1259.29,3.16,394,34.03,104.22,13.95,18.98,15.42,-16.93,1407.88,1424.81,9.74,107.29,5.25,5.98,35.21,492.78,20,394,-22.47,79.04,-11.16,-13.94,11.9,-1414.21,-0.21,1414,-14.81,247,3.98,-23.65,-4.1,-222.22,19,12.52,5.65,13,12.88,4.45,0,25,25,-0.56,0.03,0.71,10,16,8,19,3447.26,26.93,14.44,25.48,25.68,13.63,1.41,70.33,68.91,0.73,0.25,1.28,16.28,34.71,27,101,0,34.88,18,3,0,0,-0.065
"(Intercept)7",1009,"njIYSw3G1jsxkvIfIgjy8GBOfI",66,"1.5",65.06,0.51,0.09,0.5,0.51,0.08,0.29,0.79,0.5,0.37,0.29,0.01,0.46,0.56,0.85,0.221332541741035,0.10719551274531,66242.98,521.6,157.23,504.66,505.29,118.71,271.4,1206.61,935.21,1.52,4.07,13.95,426.17,589.48,3.13,4331,149,29.07,44.94,9,18.81,7.41,1,267,266,2.95,9.72,3.68,6,34,0.02,109,1064.32,335.05,250.23,0,2020.69,2020.69,-0.21,1.38,29.73,965.81,1294.98,3.98,1950,43.59,67.61,25.73,29.88,27.85,0,800,800,4.62,30.71,1.53,10.61,51.99,560,135,1950,-40.81,48.09,-27.78,-31.52,24.93,-423.71,-0.39,423.33,-3.53,17.63,1.09,-50.79,-13.26,-402.59,137,59.11,14.25,61.5,59.91,13.34,6,92,86,-0.9,2.12,1.75,51,69,18,65,2060.86,16.1,11.68,13.82,14.67,7.84,1,95.19,94.19,2.89,15.2,1.03,9.16,19.43,5,123,-0.01,59.37,77,2,0,0,0.156
"(Intercept)8",1010,"a51sOinpNQysV84kZ5s5JCnWvc",66,"1.25",264.06,2.08,0.7,1.88,1.98,0.41,0.45,5.76,5.31,1.89,5.61,0.06,1.67,2.28,-0.56,2.34354394604541,-0.0973632413074028,64734.56,509.72,175.78,488.18,491.96,150.61,0,1316.92,1316.92,1.37,4.1,15.6,390.76,596.99,3.42,27082,127,213.24,109.8,204,201.21,91.92,8,655,647,1.63,4.4,9.74,140.5,255.5,-0.47,8,246.47,170.98,178.67,0,1082.52,1082.52,0.56,1,15.17,289.65,504.06,2.59,931,16.89,50.38,2.64,5.9,2.92,0,541.93,541.93,6.25,47.22,1.65,1.09,7.79,384.57,160,931,-4.46,6.72,-1.86,-3.09,2.48,-66.36,0,66.36,-3.53,19.53,0.22,-6.05,-0.44,-45.65,61,7.03,3.93,6,6.79,2.97,0,20,20,0.59,0.04,0.24,4,10,185,30,752.21,5.88,29.65,2.91,3.15,1.88,0,338.07,338.07,10.99,120.09,2.62,2,4.47,1,127,-0.05,90.7,99,1,1,1,-0.197
"(Intercept)9",1020,"5SLfW5idV2oXXg1tX4uywgOydH",66,"1.25",178,1.4,0.36,1.32,1.35,0.24,0.9,3.2,2.3,2.19,6.63,0.03,1.17,1.49,1.17,0.998839751907542,0.148360242149214,62921.75,495.45,117.99,490.41,491.3,118.51,284.8,870.54,585.74,0.39,0.02,10.47,412.18,570.66,2.54,18797,101,186.11,202.64,122,137.06,65.23,18,1357,1339,3.38,12.93,20.16,88,184,-0.62,3,345.42,215.06,184.3,0,1077.11,1077.11,-0.16,-0.05,19.08,330.36,570.48,1.51,656,14.15,45.39,2.01,5.31,2.64,0,743.95,743.95,9.38,120.38,1.77,0.81,7.97,283.87,101,656,-6.54,11.41,-1.77,-4.02,2.36,-123.93,0,123.93,-4.02,25.29,0.45,-7.81,-0.66,-66.72,67,7.34,3.94,7,7.2,2.97,0,24,24,0.67,1.49,0.29,5,10,6,12,764.02,5.97,3.4,5.39,5.73,3.3,1,18.03,17.03,0.74,0.29,0.3,3.16,7.92,0,128,-0.01,84.29,128,0,0,0,0.262
"(Intercept)10",1021,"dy7BAYl6mPmYaOBP1IUQWPfSqL",66,"1.5",87.66,0.69,0.41,0.8,0.68,0.33,0.14,2.41,2.27,0.32,0.77,0.04,0.19,0.98,-6.5,2.94207439161862,-0.829524479079321,34078.21,268.33,211.37,325.21,263.44,244.84,0,657.07,657.07,-0.17,-1.43,18.76,0,431.7,-3.19,19607,78,251.37,635.33,136,144.17,44.48,50,5193,5143,6.65,46.18,71.94,112.25,170.75,7.33,50,433.29,589.51,724.4,0,2882.11,2882.11,0.88,1.43,52.31,0,1036.18,-7.41,208,24.54,33.18,8.05,17.98,9.84,0,202.31,202.31,2.23,6.12,2.3,3.04,34.27,141.02,13,208,-11.51,12.98,-6.91,-9.22,8.94,-53.76,0,53.76,-1.42,1.32,0.9,-17.07,-1.17,-49.37,11,4.74,2.3,5,4.81,1.48,0,9,9,-0.29,-0.39,0.24,3,6,16,77,18769.34,146.64,164.53,36.8,127.9,36.59,2.24,492.15,489.91,0.75,-1.11,14.54,17,305.32,61,67,3.27,25.06,15,39,46,39,-0.5
"(Intercept)11",1025,"MT19qJsVAjraR8N8rUGoGytCLy",66,"1",31.87,0.25,0.18,0.19,0.2,0.02,0.17,1.28,1.11,3.34,11.63,0.02,0.18,0.21,1.11,-0.157675240890469,0.150528195089429,6485.59,51.07,176.91,0,0,0,0,1018.65,1018.65,3.48,11.52,15.7,0,0,1.06,18394,12,1532.83,5044.37,80.5,82.8,78.58,16,17550,17534,2.65,5.48,1456.18,28.25,129.5,-676.52,3,254.01,382.47,0,0,2015.12,2015.12,3.45,11.27,33.94,0,0,2.39,72,46.32,71.8,18.94,29.96,21.37,0,341.3,341.3,2.42,5.8,8.46,5.53,45.33,183.09,11,71,-29.25,49.9,-11.16,-17.9,12.34,-296.56,-0.19,296.37,-3.41,12.92,5.92,-28.12,-5.28,-95.21,9,4.5,8,0,2.92,0,0,24,24,1.42,0.38,1.41,0,4.25,21,1,39525.71,308.79,166.55,331.2,314.16,196.28,5.66,579.56,573.9,-0.27,-1.16,14.72,160.66,443.68,118,10,0.24,3.64,7,65,116,65,-0.456
"(Intercept)12",1026,"79Ki5nqhJTMkncxTubnqzlz9jW",66,"1.25",60.94,0.48,0.1,0.46,0.47,0.08,0.29,0.97,0.68,1.45,3.67,0.01,0.42,0.52,0.87,0.157354122711434,0.118787236805543,63032.98,496.32,124,479.7,487.86,128.73,292.72,885.55,592.83,0.67,0.33,11,405.68,577.4,2.64,3240,111,29.19,18.83,22,26.93,14.83,5,106,101,1.36,2.23,1.79,16,42,-0.01,34,1050.09,279.11,275.07,491.57,2020.51,1528.94,0.1,-0.11,24.77,1035.15,1396.8,3.38,564,32.93,91.43,15.52,22.63,17,0,1850.93,1850.93,15.75,291.48,3.85,7.15,39.67,224.78,29,564,-24.49,33.07,-10.26,-18.06,11.98,-371.07,1.89,372.96,-3.3,22.22,1.39,-35.21,-3.88,-142.82,35,18.51,2.89,19,18.45,2.97,12,25,13,0.05,-0.51,0.37,16,20,10,35,3252.79,25.41,13.47,24.19,24.35,11.95,3.16,74.04,70.88,0.89,1.24,1.19,17.02,32.77,19,109,0.07,37.3,38,3,0,0,0.204
"(Intercept)13",1037,"3mdSihFJqXiU6QGMRL4m9YQ44s",66,"0.800000011920929",111.77,0.88,0.3,0.8,0.85,0.21,0.25,2.7,2.45,2.45,11.16,0.03,0.7,1.04,0.18,0.71649518746916,0.060252493148985,66075.33,520.28,126.14,512.46,519.56,129.22,35.23,832.86,797.63,-0.17,0.76,11.19,436.98,611.44,2.67,7837,121,64.77,77.57,42,49.8,45.96,2,516,514,2.73,10.13,7.05,16,82,0.07,15,588.22,276.85,211.92,0,1842.61,1842.61,0.89,1.64,24.57,609.81,896.92,4.18,984,26.52,112.18,8.7,13.07,9.15,0,2927.56,2927.56,19.43,466.28,3.58,3.75,22.66,554.23,94,984,-18.43,65.53,-7.22,-10.11,8.39,-1345.1,0,1345.09,-14.48,245.52,2.09,-17.13,-2.67,-577.7,98,17.58,4.9,18,17.62,4.45,6,32,26,0.02,0.25,0.46,14,21,104,56,1516.9,11.85,46.73,5.83,6.37,3.96,0,529.27,529.27,10.61,114.47,4.13,3.16,8.7,3,125,0.18,79.13,98,2,1,1,-0.143
"(Intercept)14",1052,"9JgdCOl3rqBEKcfV0vdld8BeVX",66,"1",50.67,0.4,0.07,0.39,0.4,0.07,0.26,0.64,0.39,0.54,0.41,0.01,0.35,0.44,1.09,0.00416789346819889,0.14544314027529,59148.98,465.74,113.12,455.04,459.59,130.24,254.79,766.31,511.52,0.42,-0.56,10.04,369.26,542.18,2.82,616,64,9.62,8.85,7,8.12,5.93,1,41,40,1.61,2.06,1.11,4,11.25,0.05,27,1176.99,215.56,202.97,794.39,1669.89,875.5,0.34,-0.63,19.13,1050.07,1338.39,4.09,2364,61.8,74.98,44.52,51.18,40.64,-12.61,1247.55,1260.16,6.59,72.41,1.54,20.41,81.88,950,92,2363,-59.25,59.21,-45.63,-51.87,40.29,-1374.37,0,1374.37,-7.47,130.31,1.22,-81.63,-20.89,-600.93,63,92.71,11.1,94,94.02,8.9,64,110,46,-1.01,0.62,1.55,88.5,100.5,6,8,3387.6,26.47,14.21,25.99,25.38,14.05,1,75.77,74.77,0.84,1.12,1.26,16.05,35.06,23,105,0.02,35.29,20,2,0,0,0.184
"(Intercept)15",1062,"vs8SMM73Uir5QLLvgsY8b1eW54",66,"1.25",92.74,0.73,0.12,0.72,0.72,0.11,0.47,1.1,0.63,0.7,0.66,0.01,0.65,0.78,0.17,0.657797193503787,0.0266794140892857,65415.18,515.08,149.19,515.37,501.84,123.82,306.38,1455.51,1149.13,2.18,10.83,13.24,411.88,578.67,2.34,5263,121,43.5,65.53,31,34.09,28.17,6,666,660,7.22,64.63,5.96,14,56,-0.29,61,717.09,249.04,223.98,0,1626.27,1626.27,0.45,1.12,22.1,675.68,974.57,3.84,1874,49.1,68.37,30.63,35.98,29.12,0,853.76,853.76,4.83,36.19,1.58,14.17,57.43,607.41,148,1874,-37.99,75.87,-24.65,-28.64,24.71,-2474.17,-0.12,2474.05,-19.96,584.59,1.75,-46.54,-10.16,-800.39,116,40.31,8.27,41,40.59,8.9,20,58,38,-0.27,-0.44,0.86,35,46,4,85,2115.41,16.53,9.16,15.13,15.66,8.77,1.41,55.23,53.81,1.04,1.57,0.81,9.43,21.29,3,125,0.02,56.9,102,2,0,0,0.084
"(Intercept)16",1063,"sS3QojbZorfCUP5RnqtbEXuX6T",66,"1.25",49.41,0.39,0.18,0.35,0.37,0.12,0.12,1.27,1.15,1.55,4.31,0.02,0.28,0.46,-1.95,1.06085062078022,-0.247471400271046,46094.2,362.95,139.15,374.67,373.45,123.1,0,767.85,767.85,-0.6,1.03,12.35,290.76,456.09,0.05,3775,120,31.46,24.38,26.5,27.7,15.57,6,199,193,3.62,19.05,2.23,16,37,0.03,49,972.86,705.55,472.7,0,3683.37,3683.37,1.09,1.46,62.61,759.8,1463.06,4.31,237,29.61,57.96,18.31,21.9,19.77,0.19,814.65,814.45,10.65,139.34,3.77,6.28,35.7,140.08,12,237,-23.48,41.86,-12.69,-15.37,13.23,-382.92,-0.03,382.89,-5.43,36.33,2.72,-25.34,-5.21,-170.22,17,9.5,2.39,9,9.5,2.97,1,14,13,-0.52,1.32,0.34,8,11.75,24,49,12538.78,97.96,102.14,64.48,76.35,58.1,5.39,509.62,504.24,2.06,4.04,9.03,34.67,117.01,91,37,1.64,11.58,6,34,13,11,-0.143
"(Intercept)17",1065,"fIXQJ4rvD3yHPjEpOBJlhkJW6w",66,"1.5",19.09,0.15,0.08,0.14,0.14,0.02,0.08,0.93,0.85,7.74,72.31,0.01,0.13,0.15,-0.17,0.227262540791967,-0.0283315808644718,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,119,NA,0,0,0,0,0,NA,NA,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,1,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,0.15,0.49,0,0,0,0,2,2,2.94,7.68,0.11,0,0,19,1,43639.28,340.93,160.71,366.11,345.84,186.88,4,612.75,608.75,-0.29,-1.11,14.21,210.56,469.18,125,3,0.86,0.87,1,51,125,51,NA
"(Intercept)18",1073,"womkptLrqEqYUewlLFK6QqOo58",66,"1.25",104.62,0.82,0.22,0.78,0.79,0.13,0.41,1.69,1.28,1.86,4.23,0.02,0.69,0.87,2.07,0.0722082108751781,0.276873857302405,57664.94,454.05,128.54,448.99,453.74,129.86,0,827.96,827.96,-0.28,1.34,11.41,378.46,545.64,2.37,13105,117,112.01,70.25,91,100.2,41.51,36,471,435,2.23,6.78,6.49,70,132,-0.32,8,556.33,298.29,290.53,0,1648.68,1648.68,-0.13,0.65,26.47,630.32,999.12,0.23,969,33.42,67.41,11.81,18.88,14.63,0,870.84,870.84,5.77,49.39,2.17,3.84,34.33,412.19,90,969,-23.17,29.92,-12.01,-17.17,15.38,-250.16,-0.07,250.09,-2.59,9.81,0.96,-31.31,-3.37,-182.68,66,18.47,6.23,19,18.66,5.93,1,33,32,-0.27,0.26,0.61,15,23,50,104,3762.39,29.39,72.82,18.31,20.05,10.61,0,626.62,626.62,7.5,56.05,6.44,13.6,27.47,12,116,0.45,46.63,22,2,2,2,-0.323
"(Intercept)19",1088,"v5JOagP23jwkUbWXcgRHccUACL",66,"1",78.63,0.62,0.12,0.61,0.61,0.1,0.38,0.99,0.61,0.62,0.36,0.01,0.55,0.68,0.92,0.300170993023809,0.117505899126508,59443.29,468.06,117.36,463.76,463.62,131.94,250.51,857.16,606.65,0.4,-0.31,10.41,372.45,550.93,2.74,1336,73,18.3,13.33,16,15.81,7.41,7,97,90,3.54,16.03,1.56,11,20,0.09,12,758.69,253.81,184.67,447.93,1824.64,1376.71,1.5,2.63,22.52,649.96,915.55,4.12,806,53.04,516.77,15.18,20.46,15.6,0,12661.79,12661.79,21.59,487.38,18.2,6.64,34.11,467.98,68,806,-27.55,71.46,-12.03,-14.69,12.35,-803.15,-0.09,803.05,-7.35,61.95,2.52,-24.48,-4.59,-671.11,71,20.42,4.36,20,20.46,4.45,9,31,22,-0.06,-0.19,0.49,17.5,23,69,78,3993.2,31.2,17.23,29.14,29.66,16.13,2,86.7,84.7,0.89,0.77,1.52,18.43,41.28,41,87,0.04,28.92,12,4,0,0,0.19
"(Intercept)20",1089,"osPCXYVcDcDd4o7ywnHOm6AAZZ",66,"1",61.87,0.49,0.07,0.49,0.48,0.07,0.3,0.71,0.41,0.36,0.27,0.01,0.44,0.53,0.85,0.190824381991218,0.109175307319456,62511.44,492.22,120.59,479.22,483.92,109.33,265.08,856.62,591.54,0.6,0.05,10.7,405.96,553.62,2.74,1326,85,15.6,15.71,12,13.01,8.9,1,113,112,3.31,15.89,1.7,7,18,0.04,1,1009.73,289.72,227.65,400.12,2524.12,2124,1.08,3.38,25.71,976.1,1304.32,4.08,730,45.76,113.68,17.06,24.77,19.92,0,1150.69,1150.69,6.9,54.18,4.21,6.93,44.66,987.01,50,730,-23.17,29.25,-14.34,-18.52,15.03,-500,-0.04,499.96,-6.9,97.24,1.08,-30.82,-5.89,-119.36,40,23.56,5.29,23,23.56,5.93,12,34,22,-0.02,-0.71,0.67,20,27.75,47,44,2571.19,20.09,11.06,18.18,19.08,10.47,3.16,68.25,65.09,1.12,2.14,0.98,12.95,27.08,8,120,-0.05,48.78,28,1,0,0,0.092
"(Intercept)21",1099,"gZPeAc26UGpwi6Wuf3T94ve7et",66,"1",65.3,0.51,0.1,0.49,0.51,0.09,0.34,0.89,0.55,1.01,1.29,0.01,0.44,0.58,1.57,-0.0421431331455401,0.204922290457659,60729,478.18,125.83,477.01,472.52,131.95,244.96,870.62,625.66,0.45,-0.09,11.17,387.9,564.77,3,2374,96,24.73,22.68,17,21.5,8.9,7,208,201,5.62,41.66,2.32,16,26,0.13,30,935.7,298.63,240.6,0,2004.26,2004.26,0.39,1.39,26.5,881.66,1203.11,4.42,576,34.09,46.73,15.49,24.42,16.41,0,399.47,399.47,3.08,13.09,1.95,7.78,44.02,262.85,42,576,-21.79,29.21,-11.92,-16.56,12.4,-405.9,-0.02,405.88,-5.28,54.39,1.22,-29.13,-5.04,-124.21,34,17.47,4.28,17,17.26,4.45,4,30,26,0.24,0.99,0.53,14.25,20,12,65,2203.1,17.21,10.32,17.16,16.72,11.42,0,47.01,47.01,0.32,-0.54,0.91,9.31,24.47,4,124,0.01,55.01,56,2,0,0,-0.001
"(Intercept)22",1104,"0Jei4UoBUATdZLcda15FjuFy77",66,"1.25",68.4,0.54,0.13,0.51,0.52,0.11,0.34,1.15,0.81,1.67,4.61,0.01,0.46,0.6,2.18,-0.259297234472607,0.293933098458071,63120.55,497.01,140.54,484.68,488.12,146.87,281.01,1269.02,988.01,1.38,5.48,12.47,384.36,583.55,3.09,2057,117,17.58,23.82,9,13.03,5.93,1,169,168,4.26,20.8,2.2,7,21,0.03,54,949.06,197.46,202.05,708.01,1770.81,1062.8,0.75,0.55,17.52,874.76,1143.75,2.61,1765,39.42,53.04,25.99,30.92,23.25,0,1319.36,1319.36,9.87,199.64,1.26,13.14,48.01,400.04,123,1765,-32.57,42.25,-23.3,-26.49,21.58,-951.97,-0.11,951.87,-9.87,174.37,1.01,-42.4,-11.13,-284.84,84,51.17,10.34,53,51.84,7.41,14,76,62,-0.93,2.23,1.25,47,57,34,68,2894.2,22.61,14.04,20.49,21.63,13.81,1,86.53,85.53,0.98,2.06,1.24,11.86,30.52,20,108,-0.06,43.86,22,3,0,0,0.077
"(Intercept)23",1108,"QOh74zX1AqnsJdnWBRqAa1KYrp",66,"1",160.48,1.26,0.26,1.23,1.24,0.2,0.78,2.26,1.47,1.13,2.08,0.02,1.09,1.35,1.45,0.760272523156937,0.185418976240567,65077.87,512.42,135.51,503.32,502.37,120.98,295.92,1072.77,776.84,1.17,2.81,12.02,422.52,583.09,2.98,8459,124,68.22,47.28,56,62.07,25.2,13,352,339,2.29,9.26,4.25,41,80,-0.08,20,408.73,177.12,144.05,255.5,1413.94,1158.44,1.72,4.8,15.72,406.16,605.32,2.7,1372,12,19.31,6.03,8.28,6.81,0,265.54,265.54,6.17,62.25,0.52,2.4,14.2,152.63,115,1372,-10.12,15.74,-4.71,-7.01,6.12,-271.39,0,271.38,-5.73,65.66,0.42,-13.06,-1.36,-115.96,98,17.05,4.71,17,17.09,4.45,2,32,30,-0.06,0.11,0.37,14,20,130,160,451.05,3.52,3.14,3,3.08,1.67,0,27.73,27.73,4.35,27.91,0.28,2,4.47,0,128,0.01,90.73,128,0,0,0,0.18
