"","user_id","session_id","test_id","ratio","time_total","time_mean","time_sd","time_median","time_trimmed","time_mad","time_min","time_max","time_range","time_skew","time_kurtosis","time_se","time_Q0.25","time_Q0.75","time_trend","fitts_a","fitts_b","distance_total","distance_mean","distance_sd","distance_median","distance_trimmed","distance_mad","distance_min","distance_max","distance_range","distance_skew","distance_kurtosis","distance_se","distance_Q0.25","distance_Q0.75","distance_trend","pause_total","pause_number","pause_mean","pause_sd","pause_median","pause_trimmed","pause_mad","pause_min","pause_max","pause_range","pause_skew","pause_kurtosis","pause_se","pause_Q0.25","pause_Q0.75","pause_trend","stops","velocity_mean","velocity_sd","velocity_mad","velocity_min","velocity_max","velocity_range","velocity_skew","velocity_kurtosis","velocity_se","velocity_Q0.25","velocity_Q0.75","velocity_trend","acc_n","acc_mean","acc_sd","acc_median","acc_trimmed","acc_mad","acc_min","acc_max","acc_range","acc_skew","acc_kurtosis","acc_se","acc_Q0.25","acc_Q0.75","jerk_line","n_jerk","dec_n","dec_mean","dec_sd","dec_median","dec_trimmed","dec_mad","dec_min","dec_max","dec_range","dec_skew","dec_kurtosis","dec_se","dec_Q0.25","dec_Q0.75","braking_line","n_braking","acc_per_sec_mean","acc_per_sec_sd","acc_per_sec_median","acc_per_sec_trimmed","acc_per_sec_mad","acc_per_sec_min","acc_per_sec_max","acc_per_sec_range","acc_per_sec_skew","acc_per_sec_kurtosis","acc_per_sec_se","acc_per_sec_Q0.25","acc_per_sec_Q0.75","acc_per_sec_max_pos","acc_per_sec_min_pos","missings_distance","missings_mean","missings_sd","missings_median","missings_trimmed","missings_mad","missings_min","missings_max","missings_range","missings_skew","missings_kurtosis","missings_se","missings_Q0.25","missings_Q0.75","missings","hits","missings_trend","accuracy_rate","combo_hits","combo_missings","clicked_through_targets","combo_clicked_through_targets","corr_sat"
"(Intercept)",517,"GkFVt4r0IKosYUHVMSLfxuLIN5",66,"1",77.31,0.61,0.11,0.58,0.59,0.07,0.45,1.2,0.75,1.99,6.47,0.01,0.54,0.65,-1.41,1.13741781506348,-0.194749398330886,56835.71,447.53,95.49,440.65,446.12,120.79,288.07,699.74,411.67,0.16,-0.9,8.47,370.19,528.66,2.58,4664,117,39.86,42.78,24,31.17,19.27,5,250,245,3.05,10.37,3.95,16,47,-0.35,1,730.09,315.07,326.34,175.89,1728.36,1552.47,0.3,-0.29,27.96,700.07,1136.61,6.24,781,35.66,431.01,8.8,12.72,10.15,0,12028.79,12028.79,27.59,764.57,15.42,3.4,21.52,236.63,75,781,-15.31,55.4,-8.18,-9.41,7.51,-1142.86,-0.1,1142.76,-15.73,278.84,1.98,-14.71,-3.86,-182.71,53,20.04,5.65,20,19.97,5.93,8,34,26,0.08,-0.4,0.64,16,23.75,71,36,2149.75,16.79,9.68,15.84,16.14,9.82,2,47.01,45.01,0.65,0.18,0.86,9.38,22.49,5,123,0.12,56.27,65,1,0,0,0.354
"(Intercept)1",979,"jqdNFaevpFPxyLt4tI9N6CALyI",66,"0.8500000238418579",99.8,0.79,0.22,0.74,0.74,0.12,0.54,1.77,1.23,2.19,5.12,0.02,0.65,0.81,-3.68,2.19938903224614,-0.520724735147754,59128.71,465.58,105.4,460.4,461.96,111.19,276.61,833.2,556.59,0.45,0.28,9.35,395.1,535.42,2.63,3522,101,34.87,34.8,22,27.88,11.86,6,228,222,2.72,9.49,3.46,15,39,-0.66,32,604.22,227.14,253.48,180.33,1251.41,1071.08,-0.12,-0.5,20.16,565.42,893.82,5.32,1176,19.42,26.41,11.4,14.59,11.78,0,470.59,470.59,6.1,77.96,0.77,4.88,24.48,162.6,80,1176,-19.36,57.84,-10.2,-13.06,11.33,-1715.94,0,1715.94,-22.91,640.44,1.69,-22.49,-3.83,-212.11,74,23.53,5.74,24,23.84,4.45,4,37,33,-0.71,1.44,0.57,21,27,61,1,1428.92,11.16,6.9,10.02,10.49,5.49,0,46.27,46.27,1.49,4.24,0.61,6.38,13.93,1,127,0.1,70.79,127,1,0,0,0.51
"(Intercept)2",980,"CZ4lY7vbqRKPdRg09U5GncX8ob",66,"0.5",64.81,0.51,0.09,0.5,0.51,0.06,0.23,0.77,0.54,0.44,1.31,0.01,0.46,0.55,0.36,0.39593562359294,0.0421323594667485,59461.15,468.2,121.61,481.08,465.85,133.84,149.7,771.67,621.97,0.14,-0.42,10.79,379.4,546.7,2.74,2733,121,22.59,18.31,16,18.79,8.9,6,104,98,2.23,5.24,1.66,12,23,-0.08,23,890.23,352.05,253.2,0,2566.56,2566.56,0.24,3.68,31.24,844.78,1193.76,3.41,633,48.11,484.05,17.07,21.11,16.69,0,12134.03,12134.03,24.61,611,19.24,7.36,33.37,246.23,50,633,-24.69,58.37,-13.62,-15.95,13.19,-983.45,-0.07,983.38,-10.65,145.79,2.32,-24.88,-5.8,-270.03,45,19.49,5.67,20,20,4.45,0,31,31,-1.41,3.42,0.7,17,22,55,33,3970.23,31.02,36.59,25.56,26.83,13.36,2,399.06,397.06,8.12,77.56,3.23,18.44,36.13,27,101,-0.01,32.62,15,3,2,1,0.061
"(Intercept)3",981,"hJa1hWr25s3MBNbtDg4OM7FzlT",66,"1",73.57,0.58,0.1,0.57,0.57,0.07,0.4,0.96,0.56,1.16,2.12,0.01,0.52,0.62,0.81,0.28472603345685,0.108509581352718,62573.39,492.7,119.01,500.23,490.2,138.18,277.26,852.64,575.37,0.18,-0.38,10.56,382,582.34,2.87,7003,127,55.14,37.15,48,50.6,25.2,4,254,250,1.87,5.97,3.3,31,65.5,-0.21,12,861.68,389.56,337.26,660.65,2805.87,2145.22,1.21,2.03,34.57,1009.32,1463.21,5.17,2265,107.34,155.52,62.6,79.62,64.62,0,3875,3875,8.94,171.81,3.27,27.59,132.16,1116.28,177,2265,-96.87,107.34,-63.87,-77.15,65.05,-1077.23,-0.22,1077.01,-2.63,10.63,2.26,-124,-27.78,-795.92,154,61.23,12.51,62.5,61.45,14.08,25,86,61,-0.26,-0.36,1.45,52,71,67,73,2307.72,18.03,8.78,16.28,17.63,9.31,1,46.04,45.04,0.48,-0.23,0.78,11.92,24.11,2,126,0.05,52.77,72,1,0,0,0.165
"(Intercept)4",983,"lPAVlt7rVV7IYYQpFrRn5exYNc",66,"1.25",152.28,1.2,0.19,1.19,1.2,0.17,0.78,1.71,0.94,0.19,-0.21,0.02,1.07,1.31,0.26,1.07747456725984,0.0447880558425956,72503.72,570.9,181.48,536.44,553.15,165.47,303.28,1230.24,926.96,1.11,1.63,16.1,443.04,677.9,3.93,9452,129,73.27,38.93,67,69.48,32.62,12,202,190,0.97,0.72,3.43,48,93,-0.11,23,479.53,215.55,177.5,250.39,1285.88,1035.49,0.93,0.64,19.13,463.1,728.52,4.07,1471,21.38,33.74,9.36,14.37,11.59,0,489.08,489.08,4.61,37.6,0.88,3.1,26.4,233.46,111,1471,-19.19,31.45,-6.49,-12.04,8.8,-302.83,-0.01,302.82,-3.34,15.17,0.82,-22.72,-1.6,-211.71,145,19.24,4.58,19,19.19,4.45,4,32,28,0.02,0.41,0.37,16,22,69,152,721.24,5.63,2.71,5.05,5.44,2.46,1,14.14,13.14,0.66,0.02,0.24,3.61,7.07,0,128,0.01,85.17,128,0,0,0,0.118
"(Intercept)5",984,"YyORf7IAGIDC99PuGoI1cqr1bR",66,"1.5789473684210527",216.85,1.71,2.24,1.87,1.4,2.22,0,19.39,19.39,4.38,29.54,0.2,0.31,2.51,-28.49,11.6379331667049,-3.65818307653633,26966.18,212.33,212.01,293.74,197.59,382.12,0,695.44,695.44,0.2,-1.55,18.81,0,392.32,-4.02,66594,561,118.71,415.42,18,40.55,11.86,5,7705,7700,12.31,204.02,17.54,16,38,0.23,572,139.8,168.48,177.96,0,666.44,666.44,0.61,-0.63,14.95,0,299.53,-2.9,1145,26.16,84.8,3.46,5.8,3.97,0,778.88,778.88,5.17,29.69,2.51,1.37,8.66,639.72,164,1145,-12.33,27.18,-3.68,-5.02,3.87,-180.76,0,180.76,-3.64,13.8,0.8,-7.58,-1.47,-165.86,151,10.56,10.4,8,9.25,11.86,0,40,40,0.8,-0.42,0.71,0,16,32,15,23596.75,184.35,220.32,28.84,159.93,41.27,0,625.08,625.08,0.68,-1.21,19.47,2.83,399.72,62,66,4.34,44.37,29,34,60,34,-0.681
"(Intercept)6",1001,"9p6LHbvEdvOB9Ypd1ebcSv5dpw",66,"1.25",80.92,0.64,0.08,0.63,0.64,0.08,0.47,0.86,0.39,0.02,-0.61,0.01,0.58,0.7,-0.71,0.883553087286939,-0.0907589424597819,58460.52,460.32,108.89,460.84,459.81,118.91,253.76,747.14,493.38,0.13,-0.69,9.66,383.3,555.75,2.62,6395,100,63.95,92.55,43,47.92,32.62,2,652,650,5.01,28.2,9.25,26,70.75,-0.48,14,685.47,411.65,332.95,0,1757.99,1757.99,-0.28,-0.01,36.53,691.72,1142.83,5.35,469,20.75,39.69,10.7,14.08,11.09,0,496.06,496.06,7.58,73.69,1.83,4.7,23.37,240,34,469,-12.63,15.05,-7.66,-9.73,8.12,-113.57,-0.01,113.55,-2.76,11.15,0.69,-15.87,-3.03,-80.71,36,11.59,5.01,11,11.82,4.45,0,24,24,-0.27,0.19,0.56,9,14,56,20,2432.08,19,10.3,18.07,18.38,9.43,1,68.88,67.88,1.09,3.1,0.91,12.07,25.03,3,125,-0.01,50.92,87,1,0,0,-0.063
"(Intercept)7",1009,"njIYSw3G1jsxkvIfIgjy8GBOfI",66,"1.5",119.61,0.94,0.17,0.92,0.93,0.18,0.57,1.44,0.87,0.53,-0.15,0.02,0.82,1.06,-1.67,1.49608195694001,-0.20417459333891,68231.43,537.26,143.54,532.39,527.88,146.88,313.56,973.2,659.64,0.52,-0.11,12.74,433.24,624.67,3.26,10687,133,80.35,52.92,69,74.35,34.1,1,284,283,1.33,2.17,4.59,47,100,-0.35,42,580.5,264.13,202.52,282.04,1377.92,1095.88,0.74,-0.34,23.44,549.6,885.13,5.52,2836,38.5,78.42,20.34,25.12,20.9,-6.45,1410.58,1417.02,8.31,94.59,1.47,8.97,40.65,992,219,2836,-31.09,39.22,-21.59,-23.87,22.12,-615.67,-0.08,615.59,-4.18,31.72,0.74,-38.73,-7.22,-313.9,167,47.27,10.04,47,46.89,10.38,22,77,55,0.27,0.1,0.92,40,53.25,17,36,495.14,3.87,2.39,3.16,3.59,2.59,0,12.21,12.21,1.05,1.03,0.21,2.24,5.1,0,128,0.01,89.82,128,0,0,0,0.238
"(Intercept)8",1010,"a51sOinpNQysV84kZ5s5JCnWvc",66,"1.25",530.87,4.18,1.55,3.8,3.95,1.2,2.23,11.72,9.48,1.77,4.37,0.14,3.09,4.64,-2.2,4.93346321940043,-0.277527290076862,62961.88,495.76,108.2,497.15,495.53,122.88,287.67,810.36,522.69,0.07,-0.64,9.6,409.15,572.4,2.69,64299,123,522.76,462.55,422,428.07,83.03,6,3805,3799,4.57,23.9,41.71,370,486,-0.64,3,119.01,126.32,139.57,5.79,640.35,634.56,0.52,-0.31,11.21,138.26,336.77,1.42,1281,29.52,374.37,2.84,7.63,3.52,0,13297.15,13297.15,34.76,1228.45,10.46,0.92,11.2,492.51,211,1281,-7.23,18.41,-1.39,-3.11,1.95,-260.09,0,260.09,-6.33,58.08,0.51,-6.06,-0.25,-152.33,152,4.83,4.77,4,4.12,4.45,0,26,26,1.36,2.06,0.21,1,7.5,283,2,345.35,2.7,1.27,2.83,2.68,1.23,0,6.71,6.71,0.19,-0.11,0.11,2,3.61,0,128,0,92.9,128,0,0,0,-0.096
"(Intercept)9",1020,"5SLfW5idV2oXXg1tX4uywgOydH",66,"1.25",313.49,2.47,0.94,2.24,2.33,0.64,0.07,6.56,6.48,1.88,5.37,0.08,1.88,2.85,-2.06,3.13478089861715,-0.24547037754934,64958.15,511.48,136.91,508.11,508.22,135.53,0,898.55,898.55,0.06,1.03,12.15,416.03,593.95,3.03,32823,109,301.13,238.96,250,261.37,131.95,6,1846,1840,3.65,17.86,22.89,172,346,-1.06,14,208.73,160.67,166.23,0,729.72,729.72,0.46,-0.25,14.26,164.1,386.55,1.37,999,9.53,28.68,1.34,3.07,1.7,0,350.74,350.74,6.45,54.65,0.91,0.47,4.85,228.76,154,999,-4.56,11.02,-1.03,-2.18,1.32,-150.59,0,150.59,-6.26,56.14,0.35,-3.55,-0.26,-81.36,153,6.37,4.41,6,6.16,4.45,0,20,20,0.36,-0.5,0.25,3,9.75,309,16,1100.75,8.6,36.26,4.12,4.1,1.45,0,325,325,7.83,60.71,3.2,3,5.1,2,126,-0.2,87.86,126,2,2,2,-0.216
"(Intercept)10",1021,"dy7BAYl6mPmYaOBP1IUQWPfSqL",66,"1.5",93.56,0.74,0.57,0.81,0.68,0.69,0.09,3.01,2.92,1.12,2.22,0.05,0.18,1.1,-0.51,1.12151935213808,-0.141754334245273,33320.07,262.36,256.72,315.98,235.57,428.4,0,1196.42,1196.42,0.6,-0.05,22.78,0,408.87,0.47,28560,59,484.07,1199.84,246,302.29,143.81,50,9344,9294,6.82,47.4,156.21,168,355.5,2.57,47,386.6,520.11,223.5,0,2543.83,2543.83,1.06,0.85,46.15,0,851.14,-0.58,165,25.31,37.29,6.94,17.19,9.21,0,195.48,195.48,2.08,4.33,2.9,2.46,35.24,141.3,15,165,-11.11,14.03,-5.99,-8.36,8.18,-71.66,-0.02,71.64,-1.92,3.9,1.09,-16.9,-0.93,-56.77,7,3.52,2.58,4,3.42,2.97,0,10,10,0.11,-0.92,0.27,1,5,51,1,18778.34,146.71,140.37,39.27,138.07,53.42,1,503.72,502.72,0.36,-1.52,12.41,19.81,287.23,65,63,1.4,23.84,9,48,53,47,-0.525
"(Intercept)11",1025,"MT19qJsVAjraR8N8rUGoGytCLy",66,"1",50.42,0.4,0.23,0.23,0.38,0.11,0.16,1.11,0.95,0.44,-1.18,0.02,0.18,0.62,-2.44,1.25549753911221,-0.316263526025411,26843.59,211.37,254.7,0,176.11,0,0,1096.89,1096.89,0.9,0.03,22.6,0,379.49,-1.51,8622,61,141.34,438.09,61,61.88,40.03,16,3049,3033,5.61,31.88,56.09,38,88,-0.1,21,634.57,522.33,0,0,1727.39,1727.39,0.54,-1.13,46.35,0,894,-4.95,359,35.74,60.91,18.74,24.54,19.41,0,826.14,826.14,7.24,80.51,3.21,8.03,38.03,253.84,42,358,-26.47,34.98,-13.84,-19.82,16.66,-356.62,-0.02,356.6,-3.63,23.45,1.85,-35.79,-4.91,-154.9,22,14.08,9.06,16,14.05,7.41,0,36,36,-0.2,-0.65,1.27,10.5,20,14,16,24665.37,192.7,192.86,116.68,170.24,148.21,2.24,607.28,605.04,0.74,-0.86,17.05,26.76,319.95,79,49,2.89,16.34,16,41,68,40,-0.711
"(Intercept)12",1026,"79Ki5nqhJTMkncxTubnqzlz9jW",66,"1.25",61.92,0.49,0.08,0.48,0.48,0.07,0.32,0.75,0.43,0.5,0.15,0.01,0.43,0.53,0.76,0.229335263090067,0.0951133293024769,63906.76,503.2,123.97,494.43,493.96,126.75,292.08,981.47,689.39,0.8,1,11,399.07,576.2,2.63,3019,100,30.19,23.4,21,27.08,16.31,2,143,141,1.67,4.27,2.34,14,44.25,0.04,33,1048.44,284.48,297.75,644.92,2358.08,1713.16,0.7,1.03,25.24,977.08,1363.14,5.09,622,34.1,89.94,15.57,22.95,16.25,0,1866.67,1866.67,15.56,293.59,3.61,7.21,38.71,231.93,48,622,-26.41,34.16,-11.64,-19.4,13.41,-208.94,-0.11,208.83,-2.09,5.01,1.37,-36.29,-4.05,-173.42,45,20.08,3.72,20,20.14,2.97,12,30,18,-0.05,0.05,0.47,18,22,14,39,2863.45,22.37,13.39,19.81,20.83,11.2,2.24,78.75,76.51,1.37,2.75,1.18,12.49,28.41,14,114,0.1,44.72,33,3,0,0,0.207
"(Intercept)13",1037,"3mdSihFJqXiU6QGMRL4m9YQ44s",66,"0.800000011920929",180.32,1.42,0.33,1.4,1.39,0.27,0.75,3.05,2.31,1.56,5.28,0.03,1.21,1.57,0.5,1.14244310904506,0.102191780423755,66517.54,523.76,141.46,512.35,512.09,135.99,300.2,918.7,618.5,0.67,0,12.55,412.93,601.46,3.4,17401,126,138.1,129.44,121,124.47,54.11,20,1429,1409,7.88,75.61,11.53,85.25,157.75,-0.32,11,370.15,199.46,184.94,0,1176.87,1176.87,0.73,0.48,17.7,386.44,633.44,3.14,1253,25.45,82.4,7.16,11.7,7.99,0,1379.98,1379.98,9.53,111.83,2.33,3.07,21.46,870.32,130,1253,-15.6,39.53,-4.34,-7.86,5.74,-562.56,-0.02,562.54,-8.34,95.18,1.12,-14.39,-1.18,-441.51,140,13.85,5.27,14,13.66,5.93,0,28,28,0.22,-0.2,0.39,10,18,98,119,679.5,5.31,21.65,3.16,3.31,1.6,0,247.59,247.59,10.95,119.55,1.91,2.24,4.3,1,127,0.08,90.34,114,1,0,0,0.253
"(Intercept)14",1052,"9JgdCOl3rqBEKcfV0vdld8BeVX",66,"1",53.68,0.42,0.06,0.41,0.41,0.03,0.35,0.73,0.39,2.39,7.14,0.01,0.39,0.43,0.73,0.165407080402889,0.0947794048846471,60973.16,480.1,104.29,473.78,474.42,112.44,288.78,870.84,582.05,0.66,0.63,9.25,402.22,557.39,2.61,812,60,13.53,24.99,6,8.23,2.97,2,151,149,4.46,20.17,3.23,4.75,13,-0.22,22,1147.52,191.7,191.91,671.78,1655.01,983.23,0.01,-0.27,17.01,1008.86,1290.78,4.15,2630,61.35,87.09,44.69,49.69,36.1,-65.39,1410.98,1476.38,8.27,93.48,1.7,23.72,76.64,1094.78,95,2629,-56.95,43.8,-45.58,-51.65,38.5,-400,114.28,514.28,-1.47,4.33,0.85,-81.63,-23.14,-319.05,49,97.41,11.64,97,98.05,14.08,69,116,47,-0.4,-0.64,1.58,90.25,107,33,53,3117.53,24.36,18.16,22.35,22.7,12.01,2.24,172.19,169.96,4.29,31.96,1.6,14.73,30.86,20,108,0.03,41.38,15,2,0,0,0.116
"(Intercept)15",1062,"vs8SMM73Uir5QLLvgsY8b1eW54",66,"1.25",114.6,0.9,0.18,0.87,0.88,0.15,0.63,1.8,1.17,1.63,4.43,0.02,0.78,0.98,0.4,0.776111852556527,0.0465025241272775,66020.04,519.84,130.07,495.84,513.83,128.7,295.71,933.76,638.05,0.48,-0.25,11.54,422.01,618.21,3.08,8796,119,73.92,59.7,56,66.01,47.44,7,272,265,1.14,0.8,5.47,25,100,-0.49,23,579.67,218.92,232.61,324.05,1308.03,983.98,0.41,-0.32,19.43,578.23,891.79,3.29,2115,53.18,104.92,28.53,35.3,28.85,0,3206.86,3206.86,14.73,392.79,2.28,12.16,57.8,718.12,186,2114,-36.64,53.23,-22.44,-27.62,24.56,-1131.82,-0.04,1131.78,-7.85,118.87,1.16,-46.88,-8.81,-503.87,133,36.78,10.75,37,36.82,8.9,8,61,53,-0.09,-0.15,1,29.5,43,27,101,1409.39,11.01,6.37,10,10.42,4.92,0,33.96,33.96,1.07,1.45,0.56,7.05,13.56,0,128,-0.01,71.02,128,0,0,0,0.004
"(Intercept)16",1063,"sS3QojbZorfCUP5RnqtbEXuX6T",66,"1.25",89.74,0.71,0.21,0.66,0.68,0.12,0.47,2.31,1.84,4,26.13,0.02,0.58,0.76,1,0.369462466876797,0.12420343556378,65257.12,513.84,186.62,481.36,486.96,158.2,292.98,1558.7,1265.71,2.09,7.28,16.56,374.35,585.02,3.17,6657,124,53.69,46.45,40,44.99,21.5,7,345,338,2.93,12.32,4.17,27.75,64,-0.3,24,733.55,313.73,282.72,277.42,1958.32,1680.9,1.04,1.33,27.84,716.95,1092.88,4.08,407,15.76,22.63,9.74,12.57,10.16,0,361.44,361.44,9.16,131.85,1.12,4.11,22.04,66.88,16,407,-12.08,14.05,-7.7,-9.28,7.9,-93.75,-0.04,93.71,-2.53,8.12,0.7,-15.74,-2.99,-76.07,29,9.06,2.36,9,9,1.48,1,15,14,0.11,0.91,0.25,8,10,21,85,3548.98,27.73,16.9,25.32,25.67,13.18,3,95.02,92.02,1.48,3.11,1.49,16.33,34.09,24,104,0.02,35.24,24,3,0,0,0.214
"(Intercept)17",1065,"fIXQJ4rvD3yHPjEpOBJlhkJW6w",66,"1.5",265.1,2.09,3.59,1.85,1.41,2.4,0.09,24.08,23.99,4.19,19.35,0.32,0.14,2.36,-26.67,10.9547794528887,-3.26657436143759,42085.11,331.38,403.79,353.57,279.61,522.72,0,3079.74,3079.74,2.92,16.01,35.83,0,558.27,-4.87,55288,73,757.37,1989.3,386,383.24,77.1,25,14780,14755,5.7,34.03,232.83,340,438,18.5,53,163.95,239.66,279.05,0,1092.42,1092.42,0.81,0.05,21.27,0,376.75,-4.11,940,30.34,97.38,5.65,10.27,6.8,0,1196.72,1196.72,6.9,56.81,3.18,2.13,16.7,835.97,127,940,-18.56,40.34,-4.22,-9.04,5.95,-458.38,0,458.38,-4.88,33.68,1.32,-16.08,-0.78,-309.75,121,7.07,7.67,4,6.02,5.93,0,28,28,0.86,-0.4,0.47,0,13,102,29,20592.39,160.88,216.8,5,131.69,5.58,1,612.75,611.75,0.9,-0.88,19.16,2.83,360.36,53,75,4.32,52.91,74,32,53,32,-0.678
"(Intercept)18",1073,"womkptLrqEqYUewlLFK6QqOo58",66,"1.25",137.46,1.08,1.59,0.87,0.88,0.17,0.26,15.52,15.26,7.6,60.84,0.14,0.75,0.97,8.84,-1.89253926860478,1.09591100738689,50384.73,396.73,313.73,405.81,382.41,141.52,0,3043.46,3043.46,4.56,37.56,27.84,317.42,501.93,0.39,45702,96,476.06,2193.2,130,157.41,68.2,14,19644,19630,7.65,60.61,223.84,96.75,217.5,15.34,4,361.65,439.87,310.93,0,2706.68,2706.68,0.67,2.65,39.03,259.62,846.45,-3.72,862,27.2,49.51,10.13,16.51,12.28,0,540.01,540.01,4.61,28.5,1.69,3.93,29.57,344.45,79,862,-19.07,21.49,-10.95,-15.28,14,-159.36,0,159.35,-1.99,5.55,0.73,-28.26,-3.6,-115.84,32,12.5,9.61,12,12.19,13.34,0,30,30,0.07,-1.33,0.82,2.25,20.75,48,13,10721.66,83.76,162.05,19.91,40.59,15.23,2,613.09,611.09,2.28,3.75,14.32,10.86,30.71,27,101,2.19,45,38,21,21,20,-0.547
"(Intercept)19",1088,"v5JOagP23jwkUbWXcgRHccUACL",66,"1",89.3,0.7,0.16,0.67,0.69,0.1,0.47,1.75,1.28,2.8,14.72,0.01,0.61,0.75,0.39,0.57217216921983,0.0482612997919331,60783.1,478.61,119.81,478.06,473.79,121.44,262.16,845.55,583.39,0.39,0.01,10.63,392.28,553.49,2.87,2762,80,34.52,45.18,18,22.89,8.9,7,240,233,2.93,8.35,5.05,15,30.5,-0.27,16,684.13,185.25,153.21,351.45,1424.3,1072.85,0.68,0.95,16.44,658.16,866.54,2.66,845,19.44,25.62,12.1,14.95,11.57,0,366.95,366.95,5.57,53.41,0.88,6.01,24.82,187.6,53,845,-17.13,45.31,-8.82,-11.23,9.55,-1060.66,-0.06,1060.6,-16.53,349.31,1.56,-18.94,-3.53,-211.6,64,18.79,4.26,19,18.9,3.71,4,28,24,-0.43,0.8,0.45,17,21.75,23,89,2880.02,22.5,11.85,22.28,21.82,10.16,1,99.86,98.86,2.22,12.56,1.05,15.13,28.88,5,123,0.05,42.77,66,1,0,0,0.307
"(Intercept)20",1089,"osPCXYVcDcDd4o7ywnHOm6AAZZ",66,"1",71.52,0.56,0.1,0.55,0.55,0.06,0.41,1.3,0.89,4.03,24.31,0.01,0.51,0.59,-0.01,0.563578663194826,-0.000169659303928339,64106.02,504.77,123.33,514.5,500.62,140.17,262.84,865.15,602.31,0.26,-0.5,10.94,402.8,591.25,2.76,3818,119,32.08,39.17,18,24.3,14.83,1,221,220,2.68,8.36,3.59,10,36.5,-0.45,1,897.78,299.11,273.61,636.78,2037.71,1400.93,0.64,0.09,26.54,987.5,1335.83,4.97,742,33.2,74.86,16.04,21.71,17.34,0,1378.5,1378.5,11.38,175.7,2.75,6.86,36.33,349.52,53,742,-21.72,24.14,-13.97,-17.43,15.57,-230.91,-0.09,230.82,-2.54,11.25,0.89,-30.11,-4.99,-127.91,34,20.62,4.75,21,20.72,4.45,7,32,25,-0.23,0.32,0.56,18,24,20,1,2270.76,17.74,11.43,16.26,16.52,8.99,1.41,86.88,85.47,2.16,9.45,1.01,9.87,22.05,6,122,-0.04,54.77,38,2,0,0,0.071
"(Intercept)21",1099,"gZPeAc26UGpwi6Wuf3T94ve7et",66,"1",80.05,0.63,0.11,0.61,0.62,0.08,0.45,1.34,0.89,2.66,13.34,0.01,0.56,0.67,0.19,0.577016168061857,0.0196256004403719,62240.58,490.08,103.22,487.75,489.44,106.83,278.59,724.39,445.8,0.08,-0.56,9.16,420.36,566.53,2.42,5312,106,50.11,77.71,39,36.48,23.72,8,744,736,6.95,57.47,7.55,19,48,0.03,24,772.94,324.42,312.83,0,1725.79,1725.79,-0.65,1.14,28.79,752.19,1172.82,4.82,675,24.07,34.25,11.68,16.75,12.34,0,300.54,300.54,3.31,15.43,1.32,4.94,27.5,222.44,73,675,-18.1,24.56,-9.61,-13.34,10.74,-242.63,0,242.63,-3.83,23.7,0.95,-22.74,-3.59,-135.95,50,16.68,6.29,16,16.94,5.93,0,32,32,-0.41,0.8,0.7,14,20,17,14,1445.54,11.29,6.75,10.53,10.67,6.9,1.41,29.41,28,0.77,0.02,0.6,5.96,15.23,0,128,0.02,70.28,128,0,0,0,0.194
"(Intercept)22",1104,"0Jei4UoBUATdZLcda15FjuFy77",66,"1.25",74.13,0.58,0.1,0.56,0.57,0.07,0.21,1.24,1.02,2.22,12.42,0.01,0.52,0.61,1.12,0.18952689133704,0.145203568196505,60725.77,478.16,110.53,472.92,475.72,131.21,147.24,921.43,774.18,0.38,1.15,9.81,390.3,562.32,2.46,2169,105,20.66,19.19,12,17.27,8.9,1,112,111,2.02,4.93,1.87,8,28,-0.01,40,834.22,206.98,196.33,384.35,1487.81,1103.46,0.65,0.31,18.37,771.47,1042.53,3.29,2040,38.73,77.64,24.4,28.32,21.35,0,1842.87,1842.87,12.35,209.46,1.72,12.35,44.92,987.34,126,2040,-29.73,28.42,-22.45,-25.36,19.9,-375,-0.15,374.85,-3.03,21.03,0.63,-40.41,-10.85,-203.47,90,54.41,11.86,57,55.54,8.9,1,72,71,-1.47,3.89,1.37,46.5,63,43,74,3318.06,25.92,48.56,19.92,20.54,12.64,2.83,549.59,546.76,9.82,102.72,4.29,11.4,28.91,12,116,0.2,45.23,48,3,1,1,0.005
"(Intercept)23",1108,"QOh74zX1AqnsJdnWBRqAa1KYrp",66,"1",316.93,2.5,0.77,2.38,2.47,0.65,0.81,4.85,4.04,0.42,0.32,0.07,2.04,2.98,6.75,-0.106191601744261,0.958420050919974,68782.97,541.6,202.49,515.91,520.5,151.9,258.6,2133.96,1875.36,3.95,27.83,17.97,416.74,616.51,3.81,23527,123,191.28,197.15,160,156.39,72.65,7,1384,1377,3.79,16.53,17.78,104.5,200,0.99,6,217.3,136.76,140.12,0,654.17,654.17,0.12,-0.11,12.14,226.5,408.24,0.88,1596,9.82,17.84,4.56,6.53,5.63,0,448.86,448.86,10.97,233.81,0.45,1.61,11.74,104.66,127,1596,-8.15,12.09,-3.76,-5.57,5.16,-130.34,0,130.34,-3.29,16.86,0.3,-10.8,-0.71,-73.46,110,10.07,7.68,8,9.41,8.9,0,31,31,0.62,-0.62,0.43,4,15,242,54,256.72,2.01,2.02,1.41,1.69,0.87,0,12.81,12.81,3.24,13.05,0.18,1,2.24,0,128,-0.01,94.72,128,0,0,0,0.087
