"","user_id","session_id","test_id","ratio","time_total","time_mean","time_sd","time_median","time_trimmed","time_mad","time_min","time_max","time_range","time_skew","time_kurtosis","time_se","time_Q0.25","time_Q0.75","time_trend","fitts_a","fitts_b","distance_total","distance_mean","distance_sd","distance_median","distance_trimmed","distance_mad","distance_min","distance_max","distance_range","distance_skew","distance_kurtosis","distance_se","distance_Q0.25","distance_Q0.75","distance_trend","pause_total","pause_number","pause_mean","pause_sd","pause_median","pause_trimmed","pause_mad","pause_min","pause_max","pause_range","pause_skew","pause_kurtosis","pause_se","pause_Q0.25","pause_Q0.75","pause_trend","stops","velocity_mean","velocity_sd","velocity_mad","velocity_min","velocity_max","velocity_range","velocity_skew","velocity_kurtosis","velocity_se","velocity_Q0.25","velocity_Q0.75","velocity_trend","acc_n","acc_mean","acc_sd","acc_median","acc_trimmed","acc_mad","acc_min","acc_max","acc_range","acc_skew","acc_kurtosis","acc_se","acc_Q0.25","acc_Q0.75","jerk_line","n_jerk","dec_n","dec_mean","dec_sd","dec_median","dec_trimmed","dec_mad","dec_min","dec_max","dec_range","dec_skew","dec_kurtosis","dec_se","dec_Q0.25","dec_Q0.75","braking_line","n_braking","acc_per_sec_mean","acc_per_sec_sd","acc_per_sec_median","acc_per_sec_trimmed","acc_per_sec_mad","acc_per_sec_min","acc_per_sec_max","acc_per_sec_range","acc_per_sec_skew","acc_per_sec_kurtosis","acc_per_sec_se","acc_per_sec_Q0.25","acc_per_sec_Q0.75","acc_per_sec_max_pos","acc_per_sec_min_pos","missings_distance","missings_mean","missings_sd","missings_median","missings_trimmed","missings_mad","missings_min","missings_max","missings_range","missings_skew","missings_kurtosis","missings_se","missings_Q0.25","missings_Q0.75","missings","hits","missings_trend","accuracy_rate","combo_hits","combo_missings","clicked_through_targets","combo_clicked_through_targets","corr_sat"
"(Intercept)397",2676,"4g25WISKK15mkzSoEPe3viyT7c",66,"1.25",170.43,1.34,0.52,1.26,1.29,0.3,0.76,6.06,5.3,5.89,49.7,0.05,1.09,1.5,1.22,0.954327813386299,0.142788152598358,65671.22,517.1,186.62,480.87,495.31,160.59,258.7,1375.93,1117.22,1.76,4.79,16.56,386.71,601.69,3.9,28952,110,263.2,500.75,146,172.67,78.58,33,4824,4791,7.22,60.45,47.75,107.5,225.75,-0.05,0,375.79,293.85,285.56,0,1476.45,1476.45,0.49,0.19,26.08,351.84,709,4.33,621,11.79,17.73,4.73,7.93,5.35,0,195.4,195.4,3.74,24.01,0.71,1.86,13.91,88.76,67,621,-7.5,10.32,-3.37,-5.23,4.27,-64.32,-0.05,64.27,-2.42,6.85,0.41,-9.71,-0.92,-58.69,54,7.27,3.59,8,7.45,2.97,0,15,15,-0.41,-0.57,0.27,5,10,156,2,1147.66,8.97,5.75,8.03,8.42,5.95,1,26.93,25.93,0.81,0.24,0.51,4.12,12.18,0,128,0.03,76.4,128,0,0,0,0.086
"(Intercept)398",2677,"2x7qeQLbt21VvXEYMqNlpbt6vx",66,"1",81.18,0.64,0.15,0.59,0.62,0.09,0.42,1.38,0.96,1.7,4.31,0.01,0.54,0.69,-1.25,1.09877880964623,-0.169281300983551,63359.22,498.89,121.62,484.24,493.6,139.96,262.63,832.36,569.73,0.35,-0.3,10.79,409.94,585.44,2.69,3774,100,37.74,35.4,22.5,30.31,15.57,8,188,180,2.05,4.26,3.54,16,48,-0.15,23,788.96,280.3,301.78,368.1,1649.67,1281.57,0.33,-0.35,24.87,706.24,1105.12,5.69,760,24.58,104.64,12.62,16.08,12.27,0,2812.5,2812.5,24.95,660.17,3.8,5.31,26.93,184.23,54,759,-18.42,32.52,-9.93,-13.43,11.24,-618.72,0,618.72,-10.58,170.72,1.18,-23.06,-3.52,-144.4,49,18.54,4.44,18,18.42,4.45,2,30,28,-0.15,1.55,0.49,16,21,31,81,1687.93,13.19,8.57,12.63,12.48,9.38,1,41.23,40.23,0.72,0.21,0.76,6.26,18.69,1,127,0.04,65.36,116,1,0,0,0.296
"(Intercept)399",2679,"BSVkYjRB1acA9id17kEQ7SPNmO",66,"1",133.74,1.05,1.23,0.81,0.84,0.13,0.62,12.2,11.58,6.99,54.8,0.11,0.74,0.95,-1.6,1.55478460135878,-0.184816381477271,70641.63,556.23,247.43,512.2,522.32,140.07,284.73,2046.9,1762.17,3.64,17.42,21.96,424.84,610.85,2.41,9804,124,79.06,54.14,60.5,71.32,33.36,6,254,248,1.3,1.27,4.86,46,104.5,-0.47,15,531.42,265.89,286.54,163.24,1444.59,1281.35,0.03,-0.59,23.59,615.74,999.84,4.86,939,37.89,604.3,6.19,10.04,7,0,18425.82,18425.82,30.03,910.02,19.72,2.66,17.3,246.97,94,939,-13.83,78.33,-5.24,-8.08,6.43,-2365.73,-0.04,2365.69,-28.84,862.46,2.56,-14.21,-1.67,-94.86,88,14.02,6.89,15,14.52,4.45,0,28,28,-0.79,0.04,0.6,12,18,57,24,890.54,6.96,4.57,5.83,6.42,4.32,1,23.54,22.54,1.11,1.23,0.4,3.16,9.45,0,128,0.04,81.69,128,0,0,0,0.373
"(Intercept)400",2687,"C7sbsJUuMsMyf5nwIRuTJ6aO2g",66,"1.25",185.84,1.46,0.39,1.43,1.45,0.19,0.44,3.65,3.21,1.43,8.99,0.03,1.33,1.57,2.23,0.647971537290041,0.300357635493632,60956.74,479.97,192.19,493.28,477.03,150.91,0,1577.58,1577.58,1.16,7.98,17.05,368.32,574.91,2.56,38255,126,303.61,163.22,295,291.3,112.68,13,1084,1071,1.47,4.91,14.54,216.5,369.75,-0.68,21,332.24,265.88,225.24,0,2095.57,2095.57,0.79,5.9,23.59,508.74,810.3,2.47,630,30.01,82.69,5.48,11.48,7.02,0,1014.67,1014.67,6.15,49.66,3.29,1.63,19.33,607.07,87,630,-12.98,25.37,-4.68,-7.83,6.65,-235.19,0,235.18,-4.93,30.19,1.01,-15.32,-0.89,-181.37,39,6.78,4.16,6,6.2,2.97,1,26,25,1.65,3.46,0.3,4,9,117,12,4691.51,36.65,78.3,20.25,20.49,8.72,2.24,523.36,521.12,4.57,20.51,6.92,14.4,26.12,8,120,0.02,45.41,26,1,5,1,-0.461
"(Intercept)401",2700,"cdpTdCeWeNIc9VYmO3UP2kx1ce",66,"1.25",80.65,0.64,0.14,0.61,0.63,0.11,0.25,1.19,0.94,1,2.79,0.01,0.56,0.7,1.63,0.0753649012860494,0.206170958469732,69579.16,547.87,203.23,508.6,526.66,187.33,47.84,1271.6,1223.76,1,1.28,18.03,404.26,641.12,3.84,3763,122,30.84,26.03,19.5,26.31,11.86,2,130,128,1.53,1.76,2.36,14,41.5,0.04,56,878.46,286.28,280.36,154.77,1831.51,1676.74,0.52,0.42,25.4,753.1,1115.41,4.35,774,111,1642.23,14.48,21.26,16.79,0,44244.63,44244.63,25.41,672.78,59.03,5.3,38.31,750.01,68,774,-2.68,830.98,-10.94,-17.19,13,-1293.99,22982.25,24276.24,27.33,753.27,29.87,-31.24,-3.91,-487.37,67,19.12,4.28,19,19.15,4.45,11,28,17,-0.01,-0.73,0.48,16,22,1,14,3576.45,27.94,32.36,24.27,24.5,11.49,0,361.38,361.38,8.56,85.14,2.86,16.49,30.66,20,108,0.03,37.06,15,3,1,1,-0.127
"(Intercept)402",2705,"dGuIHZ9slOu0qUZ16THMFkzjOt",66,"1",115.6,0.91,0.15,0.88,0.9,0.13,0.63,1.32,0.69,0.77,0.24,0.01,0.8,0.99,0.25,0.803378567696852,0.039364408914471,64951.25,511.43,131.9,505.56,502.5,140.08,299.99,1032.94,732.95,0.96,1.96,11.7,401.9,584.47,2.91,4560,119,38.32,29.85,36,34.36,26.69,5,227,222,2.66,12.47,2.74,17,49,-0.23,22,566.56,169.12,180.97,323.24,1390.76,1067.52,0.77,1.86,15.01,507.68,741.56,3.31,1242,9.23,12.83,4.09,6.46,4.79,0,129.92,129.92,2.74,11.11,0.36,1.63,10.95,68.88,134,1242,-8.14,11.42,-3.78,-5.69,4.33,-100.3,-0.02,100.29,-3.06,13.47,0.32,-10.01,-1.35,-83.06,119,21.42,4.49,21,21.34,4.45,12,32,20,0.15,-0.67,0.42,18,25,29,11,509.73,3.98,2.37,4,3.77,2.54,0,11.7,11.7,0.9,0.95,0.21,2.24,5.1,0,128,0.01,89.52,128,0,0,0,0.278
"(Intercept)403",2706,"1elLzwWmJ0Yv9Xi2oyvo86Qfe9",66,"1.25",73.85,0.58,0.09,0.57,0.57,0.07,0.42,0.98,0.55,1.21,2.75,0.01,0.53,0.62,0.79,0.315979242842916,0.0978028483935017,57805.29,455.16,111.63,451.85,450.95,121.7,254.03,837.84,583.81,0.42,0,9.91,362.87,524.3,2.81,3797,101,37.59,63.73,18,24.98,8.9,6,568,562,5.99,45.07,6.34,14,38,-0.36,22,790.99,251.3,225.49,0,1481.79,1481.79,-0.51,1.29,22.3,742.92,1067.9,4.35,705,18.12,37.05,8.94,12.25,8.92,0,711.54,711.54,11.12,181.68,1.4,4.05,20.23,249.17,56,705,-15.99,25.87,-8.65,-11.61,9.53,-451.75,-0.02,451.74,-8.45,119.97,0.97,-20.7,-3.46,-141.57,40,19.07,4.76,19.5,19.15,5.19,8,28,20,-0.23,-0.68,0.55,16,22.75,23,62,2596.25,20.28,9.51,19.68,19.96,9.74,0,48.51,48.51,0.35,-0.2,0.84,13.04,26.1,5,123,0.01,47.04,39,1,0,0,0.172
"(Intercept)404",2708,"jKLe4RRj3LeIkuJkotWX2dhJPC",66,"1",107.31,0.84,0.15,0.81,0.83,0.12,0.62,1.6,0.98,1.79,5.31,0.01,0.75,0.91,0.11,0.859098310999801,-0.00519646109335205,57905.34,455.95,109.65,453.64,452.78,121.81,252.09,770.48,518.38,0.33,-0.19,9.73,370.33,533.07,2.75,16902,125,135.22,93.63,95,121.18,59.3,34,487,453,1.35,1.4,8.37,68,204,-1.56,3,540.86,240.01,201.23,394.05,2019.83,1625.78,1.07,2.99,21.3,726.02,988.07,2.18,1135,31.95,46.4,17.91,23.55,20.98,0,592.28,592.28,5.12,42.93,1.38,5.91,42.16,402.48,60,1135,-26.79,28.9,-17.16,-21.89,20.51,-217.02,-0.01,217.01,-1.87,4.99,0.86,-38.64,-5.5,-173.54,50,21.03,7.04,22,21.19,5.93,3,36,33,-0.25,-0.42,0.68,16.75,26,91,107,2387.28,18.65,8.49,17.92,18.63,9.39,2,45.35,43.35,0.13,-0.42,0.75,13,25.21,1,127,0.03,51.07,70,1,0,0,0.091
"(Intercept)405",2711,"BlFaI49jS1MHyvRcHUMnNvuiAP",66,"1",73.73,0.58,0.09,0.56,0.57,0.09,0.4,0.87,0.47,0.74,0.37,0.01,0.51,0.63,0.54,0.401297986176455,0.0660365059214221,62328.13,490.77,121.89,482.41,487.22,145.47,268.17,758.8,490.63,0.22,-0.95,10.82,389.99,584,2.84,3880,119,32.61,27.31,26,28.98,19.27,4,226,222,3.5,20.05,2.5,15,43,-0.18,25,863.07,262.37,262.02,560.34,1705.72,1145.38,0.35,-0.49,23.28,863.43,1243.81,4.95,588,16.45,22.03,9.81,13,9.52,0,246.21,246.21,5.76,50.51,0.91,4.57,21.46,142.86,26,588,-13.63,14.92,-8.4,-11,8.82,-147.23,-0.15,147.08,-2.51,12.18,0.62,-18.52,-3.43,-70.41,32,15.91,3.89,16,15.73,2.97,8,26,18,0.39,-0.22,0.45,14,18,2,0,2897.66,22.64,12.27,21.61,21.68,10.3,1,80.65,79.65,1.46,4.54,1.08,14.87,28.71,11,117,-0.02,42.98,26,1,0,0,-0.086
"(Intercept)406",2714,"eQlenDeyTXMn8s9n1IPg8nuNN4",66,"1",85.95,0.68,0.2,0.64,0.65,0.1,0.42,2.5,2.08,5.68,47.07,0.02,0.58,0.72,-0.63,0.921013780352848,-0.0899627390296191,63005.76,496.11,142.79,498.93,487.18,162.01,259.57,845.68,586.11,0.47,-0.5,12.67,375.33,581.01,3.09,3390,119,28.49,40.13,12,19.81,13.34,1,223,222,2.67,8.42,3.68,4.5,36.5,-0.61,17,740.4,289.33,250.94,229.54,1929.17,1699.63,0.69,0.63,25.67,709.94,1071.78,4.46,2597,71.35,149.04,37.16,48.72,39.02,0,5624.64,5624.64,21.25,745.39,2.92,15.45,81.63,984.21,216,2596,-55.27,67.15,-35.05,-42.43,35.52,-927.03,-0.05,926.98,-3.66,24.7,1.32,-68.73,-15.33,-653.22,196,60.4,11.5,61,61.04,10.38,22,85,63,-0.56,0.75,1.24,54,68,80,41,2767.16,21.62,12.31,19.83,20.67,12.01,3.16,58.14,54.98,0.62,-0.25,1.09,12.17,28.75,13,115,0.09,45.3,32,2,0,0,0.278
